,clust,ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,8,1,28143,0,1,1,1,174,1,0,0,7000,0
1,8,2,19244,0,1,1,1,215,2,0,0,6968,0
2,8,3,41354,0,1,1,1,4123,4,0,0,7034,0
3,8,4,14776,0,1,1,1,500,1,0,0,6952,0
4,0,5,97752,0,4,1,1,43300,26,2077,4,6935,1
5,8,6,16420,0,1,1,1,0,0,0,0,6942,0
6,6,7,84914,0,3,1,1,27482,25,0,0,6994,0
7,2,8,20856,0,1,1,1,5250,4,250,1,6938,1
8,0,9,443003,0,3,2,1,1753,43,3850,12,6948,1
9,0,10,104860,0,3,1,1,28426,28,1150,3,6931,1
10,8,11,40091,0,2,1,1,7278,10,0,0,6959,0
11,9,12,96522,0,5,1,1,61105,19,0,0,6924,1
12,8,13,43382,0,2,1,1,11150,20,0,0,6924,0
13,8,14,43097,0,1,1,1,3258,6,0,0,6918,0
14,8,15,17648,0,1,1,1,0,0,0,0,6912,0
15,0,16,28495,0,4,1,1,49442,15,0,0,6912,1
16,0,17,51890,0,4,1,1,48963,16,0,0,6910,1
17,2,18,13958,0,1,1,1,4291,5,0,0,6905,1
18,0,19,91473,0,3,1,1,27408,17,0,0,6903,1
19,0,20,23354,0,3,1,1,10447,5,0,0,6896,1
20,9,21,120576,0,5,1,1,58831,23,250,2,6896,1
21,2,22,185681,2024,1,1,1,13300,16,1800,9,6896,1
22,8,23,20584,0,1,1,1,3450,11,3450,11,6884,0
23,8,24,66275,0,1,1,1,2533,11,150,1,6884,0
24,8,25,205651,500,1,1,1,4025,21,700,4,7932,0
25,8,26,20726,0,1,1,1,1375,4,0,0,7924,0
26,8,27,18521,0,1,1,1,1227,2,1227,2,7917,0
27,8,28,8828,0,1,1,1,0,0,0,0,7914,0
28,0,29,59763,0,3,1,1,33772,20,100,1,7907,1
29,2,30,19221,0,1,1,1,4655,8,500,1,7896,1
30,6,31,177926,0,3,1,1,20797,13,0,0,7886,0
31,8,32,10021,0,1,1,1,0,0,0,0,7879,0
32,6,33,276571,0,4,1,1,42044,23,0,0,7872,0
33,8,34,18047,0,1,1,1,100,1,0,0,7868,0
34,8,35,43832,0,1,1,1,0,0,0,0,7865,0
35,0,36,123759,0,4,1,1,50572,23,2500,5,7865,1
36,2,37,23193,0,1,1,1,650,4,550,3,7861,1
37,8,38,68666,0,1,1,1,350,2,350,2,7861,0
38,0,39,59990,0,3,1,1,27878,17,0,0,7854,1
39,2,40,2176,0,1,1,1,0,0,0,0,7847,1
40,8,41,34616,0,1,1,1,1750,4,500,1,7850,0
41,0,42,10470,0,4,1,1,38094,26,0,0,7840,1
42,2,43,60313,0,1,1,1,10000,26,3250,9,7829,1
43,0,44,619393,0,3,1,1,15008,14,0,0,7819,1
44,6,45,121260,0,3,1,1,18493,18,0,0,7808,0
45,2,46,288865,967,1,1,1,23600,14,2000,4,6884,1
46,8,47,92336,0,2,1,1,11214,6,0,0,6884,0
47,2,48,36924,0,1,1,1,5900,6,300,2,6879,1
48,0,49,70312,0,3,1,1,34678,24,500,1,6875,1
49,8,50,17051,0,1,1,1,1150,4,1150,4,6868,0
50,8,51,108137,0,1,1,1,6368,5,6368,5,6844,0
51,8,52,1300,0,1,1,1,370,1,0,0,6868,0
52,0,53,118531,0,4,1,1,44577,38,0,0,6868,1
53,2,54,121395,0,1,1,1,4970,8,650,2,6889,1
54,8,55,38348,0,1,1,1,0,0,0,0,6861,0
55,8,56,14448,0,1,1,1,1625,6,0,0,6856,0
56,6,57,75971,0,4,1,1,34339,14,0,0,6869,0
57,2,58,36298,0,1,1,1,3100,5,600,3,6865,1
58,6,59,38077,0,3,1,1,34024,8,0,0,6837,0
59,0,60,95118,0,3,1,1,23188,23,2200,7,6865,1
60,6,61,134457,0,3,1,1,15588,14,0,0,6861,0
61,8,62,19918,0,1,1,1,17601,11,0,0,6863,0
62,8,63,10120,0,1,1,1,0,0,0,0,6864,0
63,8,64,362642,0,1,1,1,28079,8,0,0,6835,0
64,8,65,80250,0,1,1,1,895,2,0,0,6833,0
65,10,66,53914,0,3,1,1,33767,45,5550,29,6826,1
66,8,67,9375,0,1,1,1,1750,7,0,0,6826,0
67,6,68,83237,0,4,1,1,35287,18,0,0,6837,0
68,0,69,230715,0,3,1,1,24047,12,0,0,6826,1
69,0,71,47457,0,3,1,1,12621,16,0,0,7766,1
70,8,72,84409,5031,2,1,1,15436,16,1150,4,7766,0
71,6,73,252386,0,4,1,1,39787,13,0,0,7787,0
72,6,74,550367,0,3,1,1,12500,13,50,1,7801,0
73,8,75,12646,0,1,1,1,631,4,631,4,7787,0
74,6,76,123867,0,3,1,1,25308,17,0,0,7759,0
75,6,78,129871,0,3,1,1,15776,22,0,0,7752,0
76,8,79,109380,0,1,1,1,7537,16,0,0,7749,0
77,6,80,111157,0,4,1,1,32883,19,0,0,7771,0
78,0,81,49238,0,4,1,1,38037,18,0,0,7801,1
79,9,82,38896,0,5,1,1,76988,16,556,1,7771,1
80,2,83,4340,0,1,1,1,32685,5,0,0,7733,1
81,8,84,88443,0,1,1,1,1200,3,1200,3,6837,0
82,8,85,8454,0,1,1,1,498,9,0,0,6821,0
83,8,86,61990,0,1,1,1,1625,6,0,0,6833,0
84,8,87,24093,0,1,1,1,1750,7,0,0,6819,0
85,9,88,35418,0,5,1,1,58557,18,900,3,6813,1
86,2,89,40284,0,1,1,1,7719,5,0,0,6827,1
87,6,90,609477,0,3,1,1,21422,22,1200,8,6820,0
88,8,91,62553,0,2,1,1,7672,16,700,1,6819,0
89,2,92,48433,0,1,1,1,3500,4,500,1,6807,1
90,2,93,20508,0,1,1,1,22250,8,1250,5,6794,1
91,8,94,2000,0,1,1,1,2000,4,2000,4,6809,0
92,0,95,78629,0,4,1,1,36679,25,0,0,6817,1
93,2,96,143566,0,1,1,1,5000,5,1500,3,6785,1
94,9,97,185549,0,5,1,1,110859,39,2950,16,6778,1
95,8,98,16796,0,1,1,1,2875,16,0,0,6773,0
96,8,99,57346,0,1,1,1,5560,23,0,0,6766,0
97,6,100,102062,0,4,1,1,44247,16,0,0,6758,0
98,8,101,22324,0,1,1,1,1375,4,0,0,6753,0
99,0,102,64824,0,3,1,1,20184,13,0,0,6770,1
100,9,103,25076,1182,5,1,1,57203,14,0,0,6750,1
101,2,104,8053,0,1,1,1,0,0,0,0,6750,1
102,8,105,35119,0,1,1,1,0,0,0,0,6749,0
103,2,106,28667,0,1,1,1,3861,7,2050,5,6749,1
104,8,107,34327,0,1,1,1,0,0,0,0,6745,0
105,9,108,3734,0,5,1,1,61096,18,150,2,6760,1
106,2,109,96627,1182,1,1,3,49059,26,2300,9,6738,1
107,2,110,43498,0,1,1,1,0,0,0,0,6759,1
108,0,111,84674,0,4,1,1,46335,14,50,1,6738,1
109,0,112,15098,0,4,1,1,32917,26,550,3,6737,1
110,6,113,181019,0,3,1,1,18415,15,0,0,7714,0
111,2,114,298911,0,1,1,1,8550,11,2550,8,7714,1
112,6,115,124198,0,5,1,1,66330,23,4833,10,7710,0
113,2,116,56906,0,1,1,1,2015,13,0,0,7707,1
114,2,117,295638,0,1,1,1,5422,20,818,2,7700,1
115,6,118,67018,0,3,1,1,23260,25,0,0,7698,0
116,8,119,143967,0,2,1,1,7346,11,0,0,7689,0
117,2,120,969559,0,1,1,1,2500,3,1000,2,7718,1
118,0,121,122705,0,3,1,1,24222,15,0,0,7682,1
119,2,122,16583,0,1,1,1,2625,7,0,0,7682,1
120,8,123,77540,0,1,1,1,1000,1,0,0,7683,0
121,9,124,205126,0,5,1,1,126630,45,2250,10,7668,1
122,0,125,81974,0,4,1,1,37266,18,1050,3,7661,1
123,0,126,47258,0,3,1,1,24768,19,0,0,7659,1
124,6,127,77699,0,4,1,1,42775,13,0,0,7654,0
125,0,128,133954,500,4,1,1,37670,18,1500,3,7654,1
126,9,129,602064,0,5,1,1,194753,26,2250,10,7652,1
127,0,130,213150,0,4,1,1,56308,41,5200,14,7645,1
128,2,131,48333,0,2,1,1,10123,14,0,0,6737,1
129,0,132,142175,0,4,1,1,37461,22,0,0,6732,1
130,2,133,17469,0,1,1,1,0,0,0,0,6730,1
131,2,134,19823,0,1,1,1,1095,3,335,1,6730,1
132,2,135,145074,0,1,1,1,8000,4,0,0,6746,1
133,2,136,101101,0,1,1,1,10850,11,1850,6,6725,1
134,0,137,125948,0,3,1,1,15155,15,0,0,6761,1
135,10,138,259484,1776,1,1,1,19172,26,7172,23,6723,1
136,6,139,129298,0,4,1,1,29099,15,0,0,6722,0
137,0,140,103302,0,4,1,1,53552,22,700,3,6718,1
138,2,141,160447,0,1,1,1,8578,25,0,0,6716,1
139,8,142,15472,0,1,1,1,3500,14,0,0,6715,0
140,8,143,39628,0,1,1,1,0,0,0,0,6711,0
141,8,144,6112,0,1,1,1,0,0,0,0,6709,0
142,8,145,31769,0,1,1,1,450,2,450,2,6707,0
143,6,146,126787,0,4,1,1,35021,17,0,0,6701,0
144,6,147,41547,0,3,1,1,16857,17,0,0,6697,0
145,2,148,100640,0,1,1,1,7600,8,1600,5,6708,1
146,8,149,18707,0,1,1,1,100,1,0,0,6693,0
147,9,150,50593,0,5,1,1,58208,17,1500,2,6689,1
148,6,151,84631,0,3,1,1,20415,17,0,0,6736,0
149,8,152,24868,0,1,1,1,205,5,0,0,6689,0
150,0,153,77097,0,4,1,1,42403,22,1718,4,6683,1
151,9,154,930410,0,5,1,1,211284,18,2250,6,7640,1
152,6,155,298121,0,5,1,1,60808,20,500,1,7640,0
153,8,156,87474,0,1,1,1,4581,15,0,0,7634,0
154,0,157,48707,0,4,1,1,37655,14,0,0,7631,1
155,6,158,220081,0,4,1,1,52574,21,500,1,7626,0
156,6,159,212976,0,3,1,1,19926,12,0,0,7624,0
157,0,160,44182,0,3,1,1,12313,12,0,0,7619,1
158,9,161,228829,0,5,1,1,59852,21,0,0,7612,1
159,8,162,46823,0,1,1,1,5860,12,0,0,7613,0
160,6,163,69110,0,3,1,1,18500,19,0,0,7598,0
161,9,164,120700,0,5,1,1,55323,17,1500,1,7598,1
162,2,165,152945,0,1,1,1,18604,6,3604,2,7598,1
163,0,166,10302,0,4,1,1,30298,19,0,0,7591,1
164,0,167,80331,0,3,1,1,15489,18,0,0,7634,1
165,8,168,69882,0,1,1,1,180,6,0,0,7582,0
166,8,169,95658,0,1,1,1,5269,18,0,0,7584,0
167,9,170,402874,0,5,1,1,74800,15,0,0,7582,1
168,0,171,370941,0,4,1,1,44615,16,0,0,7577,1
169,0,172,21694,0,4,1,1,45230,20,700,2,7575,1
170,9,173,71767,0,5,1,1,67335,13,0,0,7570,1
171,8,174,35820,0,1,1,1,0,0,0,0,7575,0
172,0,175,352508,0,3,1,1,23740,6,1000,2,7563,1
173,2,176,149285,0,1,1,1,15656,13,3250,6,7561,1
174,6,177,120941,0,4,1,1,42301,21,0,0,7588,0
175,0,178,451673,0,4,1,1,43533,19,900,4,7575,1
176,2,179,106961,0,1,1,1,7357,19,200,2,7572,1
177,2,180,28086,1745,2,1,1,7368,12,0,0,7549,1
178,2,181,60230,0,1,1,1,500,1,0,0,7544,1
179,2,182,6663,0,1,1,1,1125,7,750,4,7575,1
180,8,183,48145,0,1,1,1,10735,27,0,0,7540,0
181,0,184,127807,0,3,1,1,17086,16,1500,3,7537,1
182,8,186,32948,0,1,1,1,50,1,50,1,7569,0
183,2,187,8933,0,2,1,1,8860,14,0,0,7533,1
184,6,188,49885,0,3,1,1,23640,17,0,0,7533,0
185,6,189,89999,0,3,1,1,11694,13,0,0,7530,0
186,9,190,707079,0,4,1,1,57173,40,3450,12,7523,1
187,8,191,211595,0,1,1,1,3250,8,0,0,7521,0
188,6,192,410795,0,5,1,1,73679,31,0,0,7514,0
189,8,193,72173,0,1,1,1,2954,13,232,1,7509,0
190,9,194,123516,0,5,1,1,240544,31,500,2,7507,1
191,0,195,143080,733,4,1,1,44373,38,3928,17,7575,1
192,9,196,386061,0,5,1,1,107813,24,0,0,7500,1
193,8,197,52738,2398,1,1,1,0,0,0,0,7498,0
194,2,198,24523,0,1,1,1,100,1,0,0,7493,1
195,8,199,134601,0,1,1,1,0,0,0,0,7493,0
196,9,200,32742,0,5,1,1,61857,26,0,0,7488,1
197,6,201,108341,0,3,1,1,19670,21,0,0,7488,0
198,2,202,8669,0,1,3,1,11397,16,0,0,7486,1
199,0,203,118940,0,4,1,1,36001,17,150,1,7484,1
200,0,204,41385,0,4,1,1,26948,14,0,0,7481,1
201,2,205,28621,0,2,1,1,13878,20,1400,10,7479,1
202,8,206,16230,0,1,1,1,486,2,0,0,7477,0
203,9,207,152881,0,5,1,1,79687,18,500,1,7474,1
204,8,208,37348,0,1,1,1,0,0,0,0,7472,0
205,8,209,51468,0,1,1,1,2278,9,0,0,7460,0
206,9,210,95989,0,5,1,1,92159,30,1329,4,7518,1
207,2,211,23184,1250,1,1,1,3694,12,1150,3,7467,1
208,0,212,27381,0,3,1,1,18009,18,0,0,7524,1
209,8,213,6854,0,1,1,1,0,0,0,0,7467,0
210,9,214,201346,0,5,1,1,99612,34,600,4,7463,1
211,8,215,31588,0,1,1,1,2947,8,0,0,7463,0
212,8,216,204582,0,1,1,1,4671,14,0,0,7498,0
213,0,217,8298,0,3,1,1,20087,15,0,0,7498,1
214,8,218,10097,0,1,1,1,2700,1,2700,1,7498,0
215,6,219,114356,0,4,1,1,27308,14,0,0,7456,0
216,8,220,1344,0,1,1,1,1134,9,0,0,7498,0
217,8,221,59797,0,1,1,1,7069,4,0,0,7444,0
218,0,222,189053,0,3,1,1,24156,22,0,0,7439,1
219,6,223,143481,0,4,1,1,45891,15,0,0,7437,0
220,9,224,1302051,2706,5,1,1,90653,32,3050,7,7467,1
221,9,225,229744,0,5,1,1,68754,35,550,2,7467,1
222,2,226,75039,0,1,1,1,2750,10,250,1,7435,1
223,8,227,20203,0,1,1,1,750,6,0,0,7467,0
224,6,228,193976,0,3,1,1,10849,14,0,0,7416,0
225,8,229,98224,0,2,1,1,5570,11,0,0,7467,0
226,2,230,117329,0,1,2,1,6448,11,0,0,7416,1
227,0,231,119239,0,4,1,1,36362,15,250,1,7467,1
228,8,232,53715,0,2,1,1,7164,15,300,2,7416,0
229,6,233,153747,0,5,1,1,58689,15,0,0,7409,0
230,0,234,133309,0,3,1,1,23987,13,0,0,7415,1
231,9,235,81380,0,5,1,1,56524,22,0,0,7404,1
232,8,236,22074,0,1,1,1,6039,15,0,0,7404,0
233,2,237,24051,0,2,1,1,8764,13,0,0,7395,1
